2026-05-10_16-26-10,0,lista.go:2026-05-10_16-26-10;main.go:2026-05-10_16-26-10
2026-05-10_16-28-11,0,lista.go:2026-05-10_16-26-10;main.go:2026-05-10_16-28-11
2026-05-10_16-28-12,0,lista.go:2026-05-10_16-26-10;main.go:2026-05-10_16-28-11
2026-05-10_18-15-57,100,lista.go:2026-05-10_16-26-10;main.go:2026-05-10_18-15-57
2026-05-11_16-28-45,0,lista.go:2026-05-10_16-26-10;main.go:2026-05-11_16-28-45
2026-05-11_16-28-49,0,lista.go:2026-05-10_16-26-10;main.go:2026-05-11_16-28-45
2026-05-11_16-28-54,0,lista.go:2026-05-10_16-26-10;main.go:2026-05-11_16-28-45
