2026-05-11 13:16:14, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-11 13:21:05, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 13:25:58, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 13:26:24, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 13:42:53, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 13:46:08, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 16:11:10, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-11 16:15:25, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 16:20:37, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 16:24:18, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 16:24:35, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 16:24:31, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 16:28:45, EXEC, v:1, k:ed@editorint, mode:LOCK, rate:0, size:310
2026-05-11 16:28:49, EXEC, v:1, k:ed@editorint, mode:LOCK, rate:0
2026-05-11 16:28:54, EXEC, v:1, k:ed@editorint, mode:LOCK, rate:0
2026-05-11 16:28:54, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-11 16:29:04, SELF, v:1, k:ed@editorint, self:1, rate:70
2026-05-11 16:29:04, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-11 16:29:05, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-11 20:53:33, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-11 20:57:19, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 20:57:58, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 21:08:25, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:08:17, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 21:09:54, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:12:52, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:12:37, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 21:15:23, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:17:54, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:18:25, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:18:23, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 21:18:32, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:21:44, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:23:10, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 21:27:33, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:27:26, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-11 21:32:18, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:32:31, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:33:10, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-11 21:32:56, MOVE, v:1, k:ed@editorint, mode:EDIT
