2026-04-11 17:20:56, EXEC, v:1, k:fractais_png@go, mode:FREE, size:132
2026-04-11 17:21:34, EXEC, v:1, k:fractais_png@go, mode:FREE, size:132
2026-04-11 17:22:26, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:22:35, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:23:00, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:23:19, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:23:41, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:24:10, EXEC, v:1, k:fractais_png@go, mode:FREE
2026-04-11 17:25:06, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:26:56, EXEC, v:1, k:fractais_png@go, mode:FREE
2026-04-11 17:27:13, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:27:27, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:27:52, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:28:39, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:28:53, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:29:18, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:29:31, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:29:39, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:29:48, EXEC, v:1, k:fractais_png@go, mode:FREE, size:133
2026-04-11 17:30:37, EXEC, v:1, k:fractais_png@go, mode:FREE, size:136
2026-04-11 17:31:00, EXEC, v:1, k:fractais_png@go, mode:FREE, size:137
2026-04-11 17:31:23, EXEC, v:1, k:fractais_png@go, mode:FREE, size:137
2026-04-11 17:36:05, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:36:22, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:36:53, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:37:05, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:37:15, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:37:24, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:37:33, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:37:41, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:37:57, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:38:49, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:39:18, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:39:30, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:39:45, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:40:12, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:40:34, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:40:46, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:40:56, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:41:23, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 17:41:50, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-11 18:29:19, EXEC, v:1, k:fractais_png@go, mode:FREE, size:137
2026-04-11 18:29:53, EXEC, v:1, k:fractais_png@go, mode:FREE, size:136
2026-04-11 18:33:02, EXEC, v:1, k:fractais_png@go, mode:FREE, size:136
2026-04-11 18:33:28, EXEC, v:1, k:fractais_png@go, mode:FREE, size:136
2026-04-11 18:33:51, EXEC, v:1, k:fractais_png@go, mode:FREE, size:136
2026-04-11 18:34:29, EXEC, v:1, k:fractais_png@go, mode:FREE, size:136
2026-04-11 18:34:39, EXEC, v:1, k:fractais_png@go, mode:FREE, size:136
2026-04-11 18:34:49, EXEC, v:1, k:fractais_png@go, mode:FREE, size:136
2026-04-11 18:37:57, EXEC, v:1, k:fractais_png@go, mode:FREE, size:140
2026-04-11 18:39:01, EXEC, v:1, k:fractais_png@go, mode:FREE, size:141
2026-04-11 18:39:38, EXEC, v:1, k:fractais_png@go, mode:FREE, size:140
2026-04-11 18:42:21, EXEC, v:1, k:fractais_png@go, mode:FREE, size:142
2026-04-11 18:42:39, EXEC, v:1, k:fractais_png@go, mode:FREE, size:142
2026-04-11 18:42:58, EXEC, v:1, k:fractais_png@go, mode:FREE, size:140
2026-04-11 18:43:37, EXEC, v:1, k:fractais_png@go, mode:FREE, size:140
2026-04-11 18:43:51, EXEC, v:1, k:fractais_png@go, mode:FREE, size:140
2026-04-11 18:44:51, EXEC, v:1, k:fractais_png@go, mode:FREE, size:141
2026-04-11 18:45:40, EXEC, v:1, k:fractais_png@go, mode:FREE, size:141
2026-04-11 18:46:10, EXEC, v:1, k:fractais_png@go, mode:FREE, size:141
2026-04-11 18:46:31, EXEC, v:1, k:fractais_png@go, mode:FREE, size:141
2026-04-11 18:46:51, EXEC, v:1, k:fractais_png@go, mode:FREE, size:141
2026-04-11 18:47:04, EXEC, v:1, k:fractais_png@go, mode:FREE, size:141
2026-04-11 18:47:25, EXEC, v:1, k:fractais_png@go, mode:FREE, size:141
2026-04-11 18:48:03, EXEC, v:1, k:fractais_png@go, mode:FREE, size:142
2026-04-11 18:49:19, EXEC, v:1, k:fractais_png@go, mode:FREE
2026-04-11 18:49:54, EXEC, v:1, k:fractais_png@go, mode:FREE, size:142
2026-04-11 18:50:59, EXEC, v:1, k:fractais_png@go, mode:FREE, size:143
2026-04-11 18:51:13, EXEC, v:1, k:fractais_png@go, mode:FREE, size:143
2026-04-11 18:51:26, EXEC, v:1, k:fractais_png@go, mode:FREE, size:144
2026-04-11 18:51:51, EXEC, v:1, k:fractais_png@go, mode:FREE, size:144
2026-04-11 18:52:07, EXEC, v:1, k:fractais_png@go, mode:FREE, size:145
2026-04-11 18:52:16, EXEC, v:1, k:fractais_png@go, mode:FREE
2026-04-11 18:52:41, EXEC, v:1, k:fractais_png@go, mode:FREE
2026-04-11 18:53:34, EXEC, v:1, k:fractais_png@go, mode:FREE, size:146
2026-04-11 18:53:57, EXEC, v:1, k:fractais_png@go, mode:FREE, size:147
2026-04-11 18:54:16, EXEC, v:1, k:fractais_png@go, mode:FREE, size:147
2026-04-11 18:54:26, EXEC, v:1, k:fractais_png@go, mode:FREE, size:147
2026-04-11 18:55:14, EXEC, v:1, k:fractais_png@go, mode:FREE, size:147
2026-04-11 18:56:08, EXEC, v:1, k:fractais_png@go, mode:FREE, size:149
2026-04-11 18:56:40, EXEC, v:1, k:fractais_png@go, mode:FREE, size:149
2026-04-11 18:56:49, EXEC, v:1, k:fractais_png@go, mode:FREE, size:149
2026-04-11 18:57:01, EXEC, v:1, k:fractais_png@go, mode:FREE, size:149
2026-04-11 18:57:29, EXEC, v:1, k:fractais_png@go, mode:FREE, size:149
2026-04-11 18:58:08, EXEC, v:1, k:fractais_png@go, mode:FREE, size:150
2026-04-11 19:02:41, EXEC, v:1, k:fractais_png@go, mode:FREE
2026-04-11 19:07:32, EXEC, v:1, k:fractais_png@go, mode:FREE, size:150
2026-04-11 19:07:48, EXEC, v:1, k:fractais_png@go, mode:FREE, size:150
2026-04-11 19:08:14, EXEC, v:1, k:fractais_png@go, mode:FREE, size:150
2026-04-11 19:08:21, EXEC, v:1, k:fractais_png@go, mode:FREE, size:150
2026-04-11 19:08:33, EXEC, v:1, k:fractais_png@go, mode:FREE, size:150
2026-04-11 19:10:53, EXEC, v:1, k:fractais_png@go, mode:FREE, size:151
2026-04-11 19:11:05, EXEC, v:1, k:fractais_png@go, mode:FREE, size:151
2026-04-11 19:12:50, EXEC, v:1, k:fractais_png@go, mode:FREE, size:154
2026-04-11 19:13:11, EXEC, v:1, k:fractais_png@go, mode:FREE, size:154
