2026-04-12 14:00:41, EXEC, v:1, k:fractais_png@go, mode:FREE, size:157
2026-04-12 14:05:38, EXEC, v:1, k:fractais_png@go, mode:FREE, size:138
2026-04-12 14:05:54, EXEC, v:1, k:fractais_png@go, mode:FREE, size:138
2026-04-12 14:06:12, EXEC, v:1, k:fractais_png@go, mode:FREE, size:138
2026-04-12 14:06:23, EXEC, v:1, k:fractais_png@go, mode:FREE, size:138
2026-04-12 14:06:34, EXEC, v:1, k:fractais_png@go, mode:FREE, size:138
2026-04-12 14:06:42, EXEC, v:1, k:fractais_png@go, mode:FREE, size:138
2026-04-12 14:07:44, EXEC, v:1, k:fractais_png@go, mode:FREE, size:139
2026-04-12 14:09:05, EXEC, v:1, k:fractais_png@go, mode:FREE, size:143
2026-04-12 14:09:28, EXEC, v:1, k:fractais_png@go, mode:FREE, size:143
2026-04-12 14:09:44, EXEC, v:1, k:fractais_png@go, mode:FREE, size:143
2026-04-12 14:11:43, EXEC, v:1, k:fractais_png@go, mode:FREE, size:161
2026-04-12 14:11:54, EXEC, v:1, k:fractais_png@go, mode:FREE, size:161
2026-04-12 14:12:03, EXEC, v:1, k:fractais_png@go, mode:FREE, size:161
2026-04-12 14:12:12, EXEC, v:1, k:fractais_png@go, mode:FREE, size:161
2026-04-12 14:12:32, EXEC, v:1, k:fractais_png@go, mode:FREE, size:161
2026-04-12 14:12:44, EXEC, v:1, k:fractais_png@go, mode:FREE, size:161
2026-04-12 14:12:52, EXEC, v:1, k:fractais_png@go, mode:FREE, size:161
2026-04-12 14:13:02, EXEC, v:1, k:fractais_png@go, mode:FREE, size:161
2026-04-12 14:13:17, EXEC, v:1, k:fractais_png@go, mode:FREE, size:162
2026-04-12 14:13:50, EXEC, v:1, k:fractais_png@go, mode:FREE, size:164
2026-04-12 14:14:09, EXEC, v:1, k:fractais_png@go, mode:FREE, size:164
2026-04-12 14:14:47, EXEC, v:1, k:fractais_png@go, mode:FREE, size:164
2026-04-12 14:15:05, EXEC, v:1, k:fractais_png@go, mode:FREE, size:164
